timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2019-03-13 22,17.45,70.03,17.08,17.54,19.0,1017,1.91,353,0.0,20,0,6
2019-03-13 23,17.15,74.82,17.41,15.6,18.0,1017,2.31,347,0.0,20,2,5
2019-03-14 00,15.92,81.6,15.44,16.64,17.12,1017,2.56,354,0.0,20,0,5
2019-03-14 01,14.5,89.17,14.43,15.55,16.26,1016,2.62,3,0.0,20,0,5
2019-03-14 02,13.35,94.12,14.73,13.6,16.0,1016,2.67,8,0.0,20,2,5
2019-03-14 03,12.98,95.47,14.84,13.6,16.0,1016,2.2,20,0.0,20,2,5
2019-03-14 04,12.65,98.07,14.48,13.2,16.0,1016,2.42,22,0.0,40,2,5
2019-03-14 05,12.55,99.15,13.54,13.0,15.5,1016,2.07,23,0.0,40,2,5
2019-03-14 06,12.6,98.77,13.17,13.0,15.27,1016,2.15,28,0.0,40,6,5
2019-03-14 07,13.1,99.03,14.63,13.0,16.65,1017,1.83,35,0.0,40,6,5
2019-03-14 08,14.8,91.95,17.09,16.0,18.0,1018,1.8,17,0.0,40,2,5
2019-03-14 09,19.03,70.95,19.44,16.6,21.0,1018,1.0,20,0.0,40,2,5
2019-03-14 10,21.25,63.83,22.8,21.41,24.6,1014,2.6,30,0.0,40,0,5
2019-03-14 11,22.75,52.88,21.81,21.0,24.6,1015,3.1,340,0.11,75,4,5
2019-03-14 12,20.5,67.8,20.78,21.56,25.0,1014,5.1,350,0.0,40,0,5
2019-03-14 13,20.68,62.17,21.98,21.1,23.25,1017,2.6,310,0.0,75,0,4
2019-03-14 14,20.67,59.3,19.43,20.46,22.31,1017,4.1,320,0.5,90,4,3
2019-03-14 15,20.05,57.8,17.89,19.19,21.0,1016,5.1,320,0.5,90,4,2
2019-03-14 16,19.7,64.85,18.06,16.8,21.0,1016,4.1,290,0.0,90,0,1
2019-03-14 17,19.0,66.42,18.44,16.8,20.4,1016,3.1,290,0.11,90,4,2
2019-03-14 18,18.48,67.85,18.76,16.8,20.99,1016,2.1,320,0.0,75,0,2
2019-03-14 19,18.17,64.9,18.05,17.8,19.37,1016,2.1,320,0.0,75,0,2
2019-03-14 20,17.6,66.15,16.98,17.0,17.82,1016,2.08,339,0.0,40,2,3
2019-03-14 21,15.23,79.45,16.26,16.0,17.55,1017,2.04,335,0.0,40,2,3
2019-03-14 22,13.32,90.97,14.97,13.8,16.0,1017,1.93,326,0.0,20,2,3
2019-03-14 23,12.7,95.32,14.02,13.8,15.0,1017,2.07,325,0.0,20,2,3
2019-03-15 00,11.95,97.7,13.86,13.8,15.0,1018,2.3,329,0.0,20,2,4
2019-03-15 01,11.77,98.97,12.73,13.2,14.0,1018,2.1,270,0.0,20,2,3
2019-03-15 02,11.35,99.2,12.1,13.0,13.62,1017,2.1,270,0.0,20,2,4
2019-03-15 03,11.07,99.2,11.81,12.38,13.2,1017,2.1,270,0.0,20,2,5
2019-03-15 04,10.57,99.12,11.46,12.0,12.81,1017,1.5,270,0.0,20,2,4
2019-03-15 05,10.3,99.15,11.8,12.0,13.85,1018,1.5,270,0.0,20,2,5
2019-03-15 06,9.38,99.18,10.61,11.0,13.88,1018,2.06,280,0.0,0,6,5
2019-03-15 07,8.6,99.18,11.07,11.0,15.4,1019,2.1,280,0.0,1,6,5
2019-03-15 08,9.47,99.2,13.15,11.8,15.58,1020,1.5,320,0.0,1,2,3
2019-03-15 09,13.93,96.93,15.49,15.0,19.0,1021,2.6,280,0.0,1,0,5
2019-03-15 10,19.55,68.35,19.53,19.0,23.33,1017,3.1,290,0.0,1,0,5
2019-03-15 11,22.08,57.1,21.59,22.0,23.05,1021,2.6,320,0.0,1,0,4
2019-03-15 12,23.4,49.28,22.11,22.8,23.37,1020,2.6,20,0.0,1,0,3
2019-03-15 13,25.23,42.75,23.33,24.0,25.56,1015,3.1,320,0.0,1,0,3
2019-03-15 14,25.7,39.52,24.51,24.44,26.05,1014,2.1,320,0.0,20,0,2
2019-03-15 15,26.32,39.3,24.84,24.44,26.0,1013,1.5,320,0.0,40,0,2
2019-03-15 16,25.9,42.88,23.4,23.0,26.0,1013,3.1,270,0.0,20,0,2
2019-03-15 17,24.27,46.85,24.53,23.0,25.0,1013,1.5,290,0.0,20,0,1
2019-03-15 18,22.95,49.88,23.77,22.0,24.44,1013,1.0,270,0.0,1,0,2
