timestamp,Temperature,Humidity,PM2.5
2019-01-01 01,5.72,96.98,420.25
2019-01-01 02,5.32,99.07,475.75
2019-01-01 03,4.93,99.2,515.75
2019-01-01 04,4.55,99.2,487.25
2019-01-01 05,4.17,99.2,454.5
2019-01-01 06,3.9,99.2,397.25
2019-01-01 07,3.65,99.2,327.5
2019-01-01 08,3.93,99.2,296.0
2019-01-01 09,7.23,96.8,295.5
2019-01-01 10,13.2,71.08,294.5
2019-01-01 11,16.23,59.18,297.0
2019-01-01 12,19.53,44.87,294.0
2019-01-01 13,21.3,34.15,250.5
2019-01-01 14,22.28,29.8,165.75
2019-01-01 15,22.1,31.1,132.5
2019-01-01 16,21.33,35.13,112.5
2019-01-01 17,19.62,38.73,133.25
2019-01-01 18,14.88,63.15,145.5
2019-01-01 19,11.75,80.23,137.25
2019-01-01 20,10.15,86.15,137.5
2019-01-01 21,9.4,89.18,220.0
2019-01-01 22,8.9,89.78,279.5
2019-01-01 23,8.85,91.45,272.75
2019-01-02 00,8.92,92.32,293.25
2019-01-02 01,8.4,96.38,322.5
2019-01-02 02,8.58,96.5,336.5
2019-01-02 03,8.55,97.9,366.75
2019-01-02 04,8.03,99.15,369.25
2019-01-02 05,7.48,99.2,360.75
2019-01-02 06,6.72,99.2,355.5
2019-01-02 07,6.55,99.2,343.0
2019-01-02 08,6.7,99.2,354.25
2019-01-02 09,10.02,96.45,393.25
2019-01-02 10,14.7,75.8,417.0
2019-01-02 11,17.88,58.47,348.25
2019-01-02 12,20.35,46.5,294.25
2019-01-02 13,21.58,41.68,227.5
2019-01-02 14,22.45,39.5,197.5
2019-01-02 15,22.85,37.72,232.5
2019-01-02 16,22.55,38.45,283.25
2019-01-02 17,20.97,45.02,169.25
2019-01-02 18,16.1,73.0,191.0
2019-01-02 19,13.3,85.95,177.5
2019-01-02 20,11.85,89.98,178.5
2019-01-02 21,10.85,92.42,232.25
2019-01-02 22,10.0,95.73,265.75
2019-01-02 23,9.25,97.95,273.75
2019-01-03 00,8.72,99.2,271.75
2019-01-03 01,8.57,99.2,264.0
2019-01-03 02,7.88,99.2,258.0
2019-01-03 03,7.27,99.2,277.5
2019-01-03 04,7.0,99.2,291.5
2019-01-03 05,6.83,99.2,334.25
2019-01-03 06,6.45,99.2,381.5
2019-01-03 07,6.17,99.2,401.75
2019-01-03 08,6.27,99.2,438.0
