Temperature,Humidity,Carbon Monoxide,Nitrogen Dioxide,Dust (PM2.5),Dust (PM10),Date
16,60,48,0.41,112,156,15-12-2020 23:59
16,60,48,0.41,112,156,15-12-2020 23:59
16,60,48,0.41,112,156,15-12-2020 23:58
16,60,49,0.41,112,156,15-12-2020 23:58
15,60,49,0.41,112,156,15-12-2020 23:58
15,60,48,0.41,112,156,15-12-2020 23:57
15,60,49,0.41,112,156,15-12-2020 23:57
15,60,49,0.41,111,155,15-12-2020 23:57
15,60,49,0.41,0,0,15-12-2020 23:56
15,60,48,0.41,111,155,15-12-2020 23:56
15,60,48,0.41,111,155,15-12-2020 23:56
15,60,48,0.41,111,155,15-12-2020 23:55
15,60,49,0.41,111,155,15-12-2020 23:55
15,60,49,0.41,111,155,15-12-2020 23:55
15,60,48,0.41,111,155,15-12-2020 23:54
15,60,48,0.41,111,155,15-12-2020 23:54
15,60,49,0.41,111,155,15-12-2020 23:54
15,60,49,0.41,112,156,15-12-2020 23:53
15,60,48,0.41,111,155,15-12-2020 23:53
15,60,49,0.41,111,155,15-12-2020 23:53
15,60,48,0.41,111,155,15-12-2020 23:52
15,60,49,0.41,111,155,15-12-2020 23:52
15,60,48,0.41,111,155,15-12-2020 23:52
15,60,49,0.41,111,155,15-12-2020 23:51
15,60,48,0.41,111,155,15-12-2020 23:51
15,60,49,0.41,111,155,15-12-2020 23:51
15,60,48,0.41,111,155,15-12-2020 23:50
15,60,49,0.41,111,155,15-12-2020 23:50
15,60,48,0.41,111,155,15-12-2020 23:50
15,60,48,0.41,111,155,15-12-2020 23:49
15,60,49,0.41,111,155,15-12-2020 23:49
15,60,49,0.41,111,155,15-12-2020 23:49
15,60,49,0.41,111,155,15-12-2020 23:48
15,60,48,0.41,111,155,15-12-2020 23:48
15,60,49,0.41,111,155,15-12-2020 23:48
15,60,48,0.41,0,0,15-12-2020 23:47
15,60,49,0.41,0,0,15-12-2020 23:47
15,60,49,0.41,0,0,15-12-2020 23:47
15,60,48,0.41,0,0,15-12-2020 23:46
15,60,48,0.41,0,0,15-12-2020 23:46
15,60,49,0.34,105,146,15-12-2020 19:59
15,60,49,0.34,105,146,15-12-2020 19:58
15,60,49,0.34,106,147,15-12-2020 19:58
15,60,49,0.34,106,147,15-12-2020 19:58
15,60,49,0.34,106,147,15-12-2020 19:57
15,60,49,0.34,106,147,15-12-2020 19:57
15,60,49,0.34,106,147,15-12-2020 19:57
15,60,49,0.34,106,147,15-12-2020 19:56
15,60,49,0.34,105,146,15-12-2020 19:56
15,59,49,0.34,105,146,15-12-2020 19:56
15,59,49,0.34,105,146,15-12-2020 19:55
15,59,49,0.34,105,146,15-12-2020 19:55
15,59,49,0.34,105,146,15-12-2020 19:55
15,59,49,0.34,105,146,15-12-2020 19:54
15,59,49,0.34,105,146,15-12-2020 19:54
15,59,49,0.34,105,146,15-12-2020 19:54
15,59,49,0.34,105,146,15-12-2020 19:53
15,59,49,0.34,105,146,15-12-2020 19:53
15,59,49,0.34,105,146,15-12-2020 19:53
15,59,49,0.35,105,146,15-12-2020 19:52
15,59,49,0.35,105,146,15-12-2020 19:52
15,59,49,0.35,105,146,15-12-2020 19:51
15,59,49,0.34,105,146,15-12-2020 19:51
15,59,49,0.35,105,146,15-12-2020 19:51
15,59,49,0.35,105,146,15-12-2020 19:50
15,59,49,0.35,105,146,15-12-2020 19:50
15,59,49,0.35,105,146,15-12-2020 19:50
15,59,49,0.35,104,145,15-12-2020 19:49
15,59,49,0.35,104,145,15-12-2020 19:49
15,59,49,0.35,104,145,15-12-2020 19:49
15,59,49,0.35,103,144,15-12-2020 19:48
15,59,49,0.35,103,144,15-12-2020 19:48
15,59,49,0.35,103,144,15-12-2020 19:48
15,59,49,0.35,0,0,15-12-2020 19:47
15,59,49,0.35,0,0,15-12-2020 19:47
15,59,49,0.35,0,0,15-12-2020 19:47
15,59,49,0.35,0,0,15-12-2020 19:46
15,59,49,0.35,0,0,15-12-2020 19:46
16,63,48,0.34,88,122,15-12-2020 18:44
16,63,49,0.34,88,122,15-12-2020 18:44
16,63,48,0.34,88,122,15-12-2020 18:43
16,63,49,0.34,88,122,15-12-2020 18:43
16,63,49,0.34,88,122,15-12-2020 18:43
16,63,49,0.34,88,122,15-12-2020 18:42
16,63,49,0.34,88,122,15-12-2020 18:42
16,63,49,0.34,88,122,15-12-2020 18:42
16,63,49,0.34,88,122,15-12-2020 18:41
15,63,49,0.34,88,122,15-12-2020 18:41
15,63,49,0.34,88,122,15-12-2020 18:41
15,63,49,0.34,88,122,15-12-2020 18:40
15,63,49,0.34,88,122,15-12-2020 18:40
15,63,49,0.34,88,122,15-12-2020 18:39
15,63,49,0.34,88,122,15-12-2020 18:39
15,63,48,0.34,88,122,15-12-2020 18:39
15,63,49,0.34,88,122,15-12-2020 18:38
15,63,49,0.34,88,122,15-12-2020 18:38
15,63,49,0.34,88,122,15-12-2020 18:38
15,63,49,0.34,88,122,15-12-2020 18:37
15,63,49,0.34,88,122,15-12-2020 18:37
15,63,48,0.34,89,123,15-12-2020 18:36
15,63,49,0.34,89,124,15-12-2020 18:35
15,63,49,0.34,89,124,15-12-2020 18:35
15,63,49,0.34,89,124,15-12-2020 18:35
15,63,48,0.34,89,123,15-12-2020 18:34
15,63,49,0.34,89,123,15-12-2020 18:34
15,63,49,0.35,88,122,15-12-2020 18:34
15,63,48,0.34,88,122,15-12-2020 18:33
15,63,48,0.35,88,122,15-12-2020 18:33
15,63,49,0.34,88,122,15-12-2020 18:33
15,63,48,0.35,88,122,15-12-2020 18:32
15,63,49,0.35,88,122,15-12-2020 18:32
15,63,49,0.35,88,122,15-12-2020 18:32
15,63,48,0.35,88,122,15-12-2020 18:31
15,63,49,0.35,88,122,15-12-2020 18:31
15,63,49,0.34,88,122,15-12-2020 18:31
15,63,48,0.35,87,121,15-12-2020 18:30
15,63,49,0.35,87,121,15-12-2020 18:30
15,63,48,0.35,86,120,15-12-2020 18:30
15,63,49,0.35,86,120,15-12-2020 18:29
15,63,49,0.35,86,120,15-12-2020 18:29
15,63,49,0.35,85,119,15-12-2020 18:28
15,63,48,0.35,85,119,15-12-2020 18:28
15,63,49,0.35,85,119,15-12-2020 18:27
15,63,49,0.35,85,119,15-12-2020 18:27
15,63,49,0.35,86,120,15-12-2020 18:26
15,63,49,0.35,86,120,15-12-2020 18:26
15,63,49,0.35,86,120,15-12-2020 18:26
15,63,49,0.35,86,120,15-12-2020 18:25
15,63,49,0.34,85,119,15-12-2020 18:25
15,63,49,0.35,85,119,15-12-2020 18:25
16,63,49,0.35,85,119,15-12-2020 18:24
16,63,49,0.34,85,119,15-12-2020 18:24
16,63,49,0.35,85,119,15-12-2020 18:23
16,63,49,0.35,85,119,15-12-2020 18:23
16,63,49,0.34,85,119,15-12-2020 18:23
16,63,48,0.34,85,119,15-12-2020 18:22
16,63,49,0.34,85,119,15-12-2020 18:22
16,63,49,0.35,85,119,15-12-2020 18:22
16,63,49,0.35,85,119,15-12-2020 18:21
16,63,49,0.35,85,119,15-12-2020 18:21
15,63,49,0.35,85,119,15-12-2020 18:21
15,63,49,0.35,86,120,15-12-2020 18:20
15,63,49,0.35,86,120,15-12-2020 18:20
15,63,49,0.34,86,120,15-12-2020 18:19
15,63,49,0.35,86,120,15-12-2020 18:19
15,63,49,0.34,88,122,15-12-2020 18:18
15,63,49,0.35,88,122,15-12-2020 18:18
16,63,49,0.35,88,122,15-12-2020 18:18
16,63,49,0.35,88,122,15-12-2020 18:17
16,63,49,0.35,88,122,15-12-2020 18:17
16,63,49,0.35,88,122,15-12-2020 18:17
16,63,49,0.34,88,122,15-12-2020 18:16
16,63,49,0.35,88,122,15-12-2020 18:16
16,63,48,0.35,89,123,15-12-2020 18:16
16,63,49,0.34,89,123,15-12-2020 18:15
16,63,49,0.34,89,123,15-12-2020 18:14
16,63,49,0.35,89,123,15-12-2020 18:14
16,63,49,0.34,89,123,15-12-2020 18:13
16,63,49,0.35,89,123,15-12-2020 18:13
16,63,49,0.34,89,123,15-12-2020 18:13
15,63,49,0.34,89,123,15-12-2020 18:12
15,63,49,0.34,89,123,15-12-2020 18:11
15,63,49,0.34,89,123,15-12-2020 18:11
15,63,49,0.34,89,123,15-12-2020 18:11
15,63,49,0.34,88,122,15-12-2020 18:10
15,63,49,0.34,88,122,15-12-2020 18:10
15,63,49,0.34,88,122,15-12-2020 18:09
15,63,49,0.34,88,122,15-12-2020 18:09
14,63,49,0.35,89,124,15-12-2020 18:08
14,63,49,0.34,89,124,15-12-2020 18:08
14,63,49,0.34,89,124,15-12-2020 18:07
14,63,49,0.34,89,124,15-12-2020 18:07
14,63,49,0.34,89,124,15-12-2020 18:07
14,63,48,0.34,90,125,15-12-2020 18:06
14,63,49,0.34,90,125,15-12-2020 18:05
14,63,49,0.34,90,125,15-12-2020 18:05
15,63,49,0.34,89,124,15-12-2020 18:04
15,63,49,0.34,89,124,15-12-2020 18:04
15,63,48,0.34,89,123,15-12-2020 18:03
15,63,48,0.34,0,0,15-12-2020 18:03
16,61,49,0.33,84,117,15-12-2020 17:59
16,61,49,0.33,84,117,15-12-2020 17:59
16,61,48,0.32,84,117,15-12-2020 17:59
16,61,49,0.33,84,117,15-12-2020 17:58
15,61,49,0.33,84,117,15-12-2020 17:58
15,61,49,0.33,84,117,15-12-2020 17:58
15,61,49,0.32,84,117,15-12-2020 17:57
15,61,48,0.33,84,117,15-12-2020 17:57
15,61,49,0.32,84,117,15-12-2020 17:56
15,61,48,0.33,84,117,15-12-2020 17:56
16,61,49,0.32,84,117,15-12-2020 17:55
16,61,48,0.32,84,117,15-12-2020 17:55
16,61,49,0.32,84,117,15-12-2020 17:55
16,61,49,0.32,84,117,15-12-2020 17:54
16,61,49,0.32,84,117,15-12-2020 17:54
16,61,49,0.32,85,119,15-12-2020 17:54
16,61,49,0.32,85,119,15-12-2020 17:53
16,61,49,0.32,85,119,15-12-2020 17:53
16,61,49,0.32,85,119,15-12-2020 17:53
16,61,49,0.32,0,0,15-12-2020 17:52
15,61,49,0.32,85,119,15-12-2020 17:52
15,61,49,0.32,85,119,15-12-2020 17:52
15,61,49,0.32,84,116,15-12-2020 17:51
15,61,49,0.32,84,116,15-12-2020 17:51
15,61,49,0.32,84,116,15-12-2020 17:51
15,61,49,0.32,84,116,15-12-2020 17:50
15,61,49,0.32,83,115,15-12-2020 17:50
15,61,49,0.32,83,115,15-12-2020 17:50
15,61,48,0.32,83,115,15-12-2020 17:49
15,61,49,0.32,84,116,15-12-2020 17:49
15,61,49,0.32,84,116,15-12-2020 17:49
15,61,49,0.32,84,116,15-12-2020 17:48
15,61,49,0.32,84,116,15-12-2020 17:48
15,61,49,0.32,84,116,15-12-2020 17:48
15,62,48,0.32,0,0,15-12-2020 17:47
16,62,48,0.32,0,0,15-12-2020 17:47
16,61,49,0.32,0,0,15-12-2020 17:47
16,61,49,0.32,0,0,15-12-2020 17:46
16,61,49,0.32,0,0,15-12-2020 17:46
15,52,49,0.26,120,167,15-12-2020 17:44
16,52,49,0.26,121,168,15-12-2020 17:44
16,52,49,0.26,122,170,15-12-2020 17:44
16,52,49,0.26,122,170,15-12-2020 17:43
16,52,49,0.26,122,170,15-12-2020 17:43
16,52,49,0.26,123,171,15-12-2020 17:43
16,52,49,0.26,125,173,15-12-2020 17:42
16,52,49,0.26,125,174,15-12-2020 17:42
16,52,49,0.26,125,174,15-12-2020 17:42
16,52,49,0.26,126,175,15-12-2020 17:41
15,52,49,0.26,127,176,15-12-2020 17:40
15,52,49,0.26,127,176,15-12-2020 17:40
15,52,49,0.26,128,178,15-12-2020 17:39
