timestamp,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,rain,clouds_all,weather
2019-03-13 22,17.08,17.54,19.0,60,1017,1.91,353,0.0,20,0
2019-03-13 23,17.41,15.6,18.0,93,1017,2.31,347,0.0,20,2
2019-03-14 00,15.44,16.64,17.12,67,1017,2.56,354,0.0,20,0
2019-03-14 01,14.43,15.55,16.26,72,1016,2.62,3,0.0,20,0
2019-03-14 02,14.73,13.6,16.0,97,1016,2.67,8,0.0,20,2
2019-03-14 03,14.84,13.6,16.0,97,1016,2.2,20,0.0,20,2
2019-03-14 04,14.48,13.2,16.0,97,1016,2.42,22,0.0,40,2
2019-03-14 05,13.54,13.0,15.5,97,1016,2.07,23,0.0,40,2
2019-03-14 06,13.17,13.0,15.27,93,1016,2.15,28,0.0,40,6
2019-03-14 07,14.63,13.0,16.65,93,1017,1.83,35,0.0,40,6
2019-03-14 08,17.09,16.0,18.0,87,1018,1.8,17,0.0,40,2
2019-03-14 09,19.44,16.6,21.0,77,1018,1.0,20,0.0,40,2
2019-03-14 10,22.8,21.41,24.6,50,1014,2.6,30,0.0,40,0
2019-03-14 11,21.81,21.0,24.6,53,1015,3.1,340,0.11,75,4
2019-03-14 12,20.78,21.56,25.0,53,1014,5.1,350,0.0,40,0
2019-03-14 13,21.98,21.1,23.25,60,1017,2.6,310,0.0,75,0
2019-03-14 14,19.43,20.46,22.31,64,1017,4.1,320,0.5,90,4
2019-03-14 15,17.89,19.19,21.0,64,1016,5.1,320,0.5,90,4
2019-03-14 16,18.06,16.8,21.0,64,1016,4.1,290,0.0,90,0
2019-03-14 17,18.44,16.8,20.4,72,1016,3.1,290,0.11,90,4
2019-03-14 18,18.76,16.8,20.99,72,1016,2.1,320,0.0,75,0
2019-03-14 19,18.05,17.8,19.37,72,1016,2.1,320,0.0,75,0
2019-03-14 20,16.98,17.0,17.82,81,1016,2.08,339,0.0,40,2
2019-03-14 21,16.26,16.0,17.55,81,1017,2.04,335,0.0,40,2
2019-03-14 22,14.97,13.8,16.0,90,1017,1.93,326,0.0,20,2
2019-03-14 23,14.02,13.8,15.0,90,1017,2.07,325,0.0,20,2
2019-03-15 00,13.86,13.8,15.0,90,1018,2.3,329,0.0,20,2
2019-03-15 01,12.73,13.2,14.0,88,1018,2.1,270,0.0,20,2
2019-03-15 02,12.1,13.0,13.62,88,1017,2.1,270,0.0,20,2
2019-03-15 03,11.81,12.38,13.2,88,1017,2.1,270,0.0,20,2
2019-03-15 04,11.46,12.0,12.81,92,1017,1.5,270,0.0,20,2
2019-03-15 05,11.8,12.0,13.85,92,1018,1.5,270,0.0,20,2
2019-03-15 06,10.61,11.0,13.88,88,1018,2.06,280,0.0,0,6
2019-03-15 07,11.07,11.0,15.4,87,1019,2.1,280,0.0,1,6
2019-03-15 08,13.15,11.8,15.58,82,1020,1.5,320,0.0,1,2
2019-03-15 09,15.49,15.0,19.0,72,1021,2.6,280,0.0,1,0
2019-03-15 10,19.53,19.0,23.33,60,1017,3.1,290,0.0,1,0
2019-03-15 11,21.59,22.0,23.05,53,1021,2.6,320,0.0,1,0
2019-03-15 12,22.11,22.8,23.37,53,1020,2.6,20,0.0,1,0
2019-03-15 13,23.33,24.0,25.56,47,1015,3.1,320,0.0,1,0
2019-03-15 14,24.51,24.44,26.05,47,1014,2.1,320,0.0,20,0
2019-03-15 15,24.84,24.44,26.0,44,1013,1.5,320,0.0,40,0
2019-03-15 16,23.4,23.0,26.0,44,1013,3.1,270,0.0,20,0
2019-03-15 17,24.53,23.0,25.0,53,1013,1.5,290,0.0,20,0
2019-03-15 18,23.77,22.0,24.44,64,1013,1.0,270,0.0,1,0
2019-03-15 19,22.35,21.0,22.22,64,1017,1.0,270,0.0,1,0
2019-03-15 20,21.19,19.4,20.14,79,1018,1.0,270,0.0,0,2
2019-03-15 21,20.98,19.4,20.0,79,1018,1.0,270,0.0,0,2
2019-03-15 22,19.57,17.6,19.0,85,1018,1.0,290,0.0,0,2
2019-03-15 23,18.8,17.51,18.0,85,1019,1.0,290,0.0,0,2
2019-03-16 00,15.83,17.0,17.3,77,1018,3.1,280,0.0,1,2
2019-03-16 01,17.19,15.6,17.0,91,1018,1.0,290,0.0,0,2
2019-03-16 02,17.13,15.52,17.0,91,1017,1.0,290,0.0,0,2
2019-03-16 03,15.18,13.68,15.6,91,1017,1.0,290,0.0,1,2
2019-03-16 04,12.22,13.0,13.27,93,1017,2.1,260,0.0,20,2
2019-03-16 05,13.0,12.0,14.22,95,1017,1.0,290,0.0,3,2
2019-03-16 06,13.33,13.0,14.2,94,1017,1.54,270,0.0,20,2
2019-03-16 07,14.49,13.0,16.4,94,1017,1.54,270,0.0,20,2
2019-03-16 08,15.38,15.0,15.8,87,1018,1.5,290,0.0,40,2
2019-03-16 09,16.29,15.2,17.0,87,1019,1.5,290,0.0,40,2
2019-03-16 10,22.27,20.0,24.44,64,1014,1.03,350,0.0,20,0
2019-03-16 11,21.2,22.0,25.0,52,1013,4.1,290,0.0,20,0
2019-03-16 12,22.05,23.2,25.0,47,1013,4.12,270,0.0,20,0
2019-03-16 13,22.64,24.0,25.79,47,1012,4.12,270,0.0,20,0
2019-03-16 14,24.58,25.56,26.32,44,1011,3.1,270,0.0,40,0
2019-03-16 15,25.18,24.88,26.0,41,1011,1.5,300,0.0,40,0
2019-03-16 16,24.88,23.8,26.0,44,1010,1.5,290,0.0,40,0
2019-03-16 17,24.62,23.8,26.0,45,1010,1.54,290,0.0,40,0
2019-03-16 18,21.57,23.0,24.01,46,1014,3.1,260,0.0,40,0
2019-03-16 19,19.94,21.0,22.5,52,1016,2.6,270,0.0,40,0
2019-03-16 20,20.9,19.8,21.0,74,1016,2.04,300,0.0,20,0
2019-03-16 21,20.11,19.77,20.19,74,1016,2.13,305,0.0,20,0
2019-03-16 22,19.5,17.2,20.0,87,1016,2.0,309,0.0,20,2
2019-03-16 23,18.82,17.18,19.0,87,1016,1.84,317,0.0,20,2
2019-03-17 00,18.87,17.19,19.0,87,1015,1.78,323,0.0,20,2
2019-03-17 01,17.43,15.8,18.0,91,1014,1.93,328,0.0,20,2
2019-03-17 02,16.69,15.78,17.0,91,1014,1.91,327,0.0,20,2
2019-03-17 03,16.74,15.37,17.0,91,1014,1.63,335,0.0,20,2
2019-03-17 04,15.82,14.61,17.0,87,1014,2.25,308,0.0,75,6
2019-03-17 05,15.22,14.78,16.0,87,1014,1.83,285,0.0,75,6
2019-03-17 06,14.09,14.0,15.23,87,1015,1.8,278,0.0,75,6
