TEMP,PID,USER,PR,NI,VIRT,RES,SHR,S,CPU,MEM,TIME,ENV,COMMAND
T53.0C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,0:33.21,python3,rf.py
T52.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:34.40,python3,rf.py
T52.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:35.58,python3,rf.py
T52.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,0:36.77,python3,rf.py
T51.6C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:37.96,python3,rf.py
T52.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:39.16,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:40.35,python3,rf.py
T52.1C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,0:41.55,python3,rf.py
T52.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:42.74,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:43.93,python3,rf.py
T52.5C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,0:45.13,python3,rf.py
T52.1C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,0:46.32,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,0:47.51,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:48.70,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:49.89,python3,rf.py
T52.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:51.09,python3,rf.py
T53.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,0:52.28,python3,rf.py
T52.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:53.47,python3,rf.py
T52.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:54.66,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:55.85,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,0:57.04,python3,rf.py
T52.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:58.24,python3,rf.py
T53.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,0:59.43,python3,rf.py
T53.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:00.62,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:01.81,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,1:03.01,python3,rf.py
T54.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:04.19,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:05.39,python3,rf.py
T53.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:06.58,python3,rf.py
T53.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,1:07.77,python3,rf.py
T53.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:08.96,python3,rf.py
T54.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:10.15,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:11.35,python3,rf.py
T54.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:12.54,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,1:13.74,python3,rf.py
T53.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:14.92,python3,rf.py
T53.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,1:16.11,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:17.31,python3,rf.py
T53.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:18.50,python3,rf.py
T54.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,1:19.69,python3,rf.py
T53.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:20.88,python3,rf.py
T54.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:22.07,python3,rf.py
T54.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,1:23.27,python3,rf.py
T54.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:24.46,python3,rf.py
T54.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:25.65,python3,rf.py
T53.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,1:26.84,python3,rf.py
T54.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:28.04,python3,rf.py
T54.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:29.23,python3,rf.py
T54.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,1:30.42,python3,rf.py
T54.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:31.61,python3,rf.py
