TEMP,PID,USER,PR,NI,VIRT,RES,SHR,S,CPU,MEM,TIME,ENV,COMMAND
T56.0C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:25.38,python3,rf_t.py
T57.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,0:26.57,python3,rf_t.py
T56.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:27.76,python3,rf_t.py
T56.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:28.96,python3,rf_t.py
T57.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:30.15,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,0:31.34,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:32.54,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:33.73,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:34.92,python3,rf_t.py
T57.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,0:36.12,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:37.31,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:38.51,python3,rf_t.py
T57.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,0:39.70,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:40.89,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,0:42.09,python3,rf_t.py
T57.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:43.28,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:44.47,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:45.67,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:46.86,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,0:48.06,python3,rf_t.py
T57.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,0:49.24,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:50.44,python3,rf_t.py
T56.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:51.63,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:52.83,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:54.02,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,0:55.21,python3,rf_t.py
T57.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:56.41,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:57.60,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:58.79,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,0:59.99,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:01.18,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:02.38,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:03.57,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:04.77,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:05.96,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:07.15,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:08.35,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:09.54,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:10.73,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:11.93,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:13.11,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:14.30,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:15.50,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:16.70,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:17.89,python3,rf_t.py
T57.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:19.08,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:20.27,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:21.47,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:22.66,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:23.85,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:25.05,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:26.24,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:27.43,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:28.63,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:29.82,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:31.01,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:32.21,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:33.40,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:34.59,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:35.78,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:36.98,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:38.17,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:39.36,python3,rf_t.py
