TEMP,PID,USER,PR,NI,VIRT,RES,SHR,S,CPU,MEM,TIME,ENV,COMMAND
T61.3C,22110,pk,20,0,2540284,571532,201192,R,100.0,7.1,1:37.81,python3,rnn.py
T60.8C,22110,pk,20,0,2540284,571464,201192,R,106.2,7.1,1:39.02,python3,rnn.py
T59.9C,22110,pk,20,0,2540540,571460,201192,R,106.2,7.1,1:40.23,python3,rnn.py
T60.3C,22110,pk,20,0,2540540,571560,201192,R,100.0,7.1,1:41.43,python3,rnn.py
T59.9C,22110,pk,20,0,2540796,571584,201192,R,100.0,7.1,1:42.64,python3,rnn.py
T59.9C,22110,pk,20,0,2540796,571820,201192,R,100.0,7.1,1:43.84,python3,rnn.py
T59.9C,22110,pk,20,0,2540796,571896,201192,R,100.0,7.1,1:45.04,python3,rnn.py
T61.3C,22110,pk,20,0,2541052,571920,201192,R,100.0,7.1,1:46.24,python3,rnn.py
T59.4C,22110,pk,20,0,2541052,571928,201192,R,94.1,7.1,1:47.45,python3,rnn.py
T59.9C,22110,pk,20,0,2549504,572288,201192,S,100.0,7.2,1:48.66,python3,rnn.py
T59.9C,22110,pk,20,0,2541308,572232,201192,R,100.0,7.2,1:49.86,python3,rnn.py
T58.9C,22110,pk,20,0,2541308,572244,201192,R,94.1,7.2,1:51.07,python3,rnn.py
T59.9C,22110,pk,20,0,2541564,572368,201192,R,100.0,7.2,1:52.27,python3,rnn.py
T59.9C,22110,pk,20,0,2541564,572640,201192,R,100.0,7.2,1:53.48,python3,rnn.py
T59.9C,22110,pk,20,0,2541564,572644,201192,R,100.0,7.2,1:54.69,python3,rnn.py
T60.8C,22110,pk,20,0,2541564,572588,201192,R,94.1,7.2,1:55.89,python3,rnn.py
T61.3C,22110,pk,20,0,2541820,572688,201192,R,106.2,7.2,1:57.10,python3,rnn.py
T59.9C,22110,pk,20,0,2541820,572708,201192,R,100.0,7.2,1:58.30,python3,rnn.py
T58.9C,22110,pk,20,0,2542076,573080,201192,R,100.0,7.2,1:59.51,python3,rnn.py
T59.9C,22110,pk,20,0,2542076,573104,201192,R,100.0,7.2,2:00.72,python3,rnn.py
T59.4C,22110,pk,20,0,2542076,573048,201192,R,100.0,7.2,2:01.92,python3,rnn.py
T60.8C,22110,pk,20,0,2542076,573040,201192,R,100.0,7.2,2:03.13,python3,rnn.py
T59.9C,22110,pk,20,0,2542332,573420,201192,R,100.0,7.2,2:04.33,python3,rnn.py
T59.4C,22110,pk,20,0,2542332,573464,201192,R,100.0,7.2,2:05.54,python3,rnn.py
T59.9C,22110,pk,20,0,2545096,576128,201192,R,100.0,7.2,2:06.75,python3,rnn.py
T59.4C,22110,pk,20,0,2546680,577484,201192,R,106.2,7.2,2:07.96,python3,rnn.py
T59.9C,22110,pk,20,0,2547736,579036,201192,R,94.1,7.2,2:09.16,python3,rnn.py
T58.4C,22110,pk,20,0,2549584,580772,201192,R,100.0,7.3,2:10.37,python3,rnn.py
T60.3C,22110,pk,20,0,2552216,583356,201192,R,94.1,7.3,2:11.57,python3,rnn.py
T59.4C,22110,pk,20,0,2554196,585244,201192,R,100.0,7.3,2:12.78,python3,rnn.py
T59.4C,22110,pk,20,0,2555912,586860,201192,R,100.0,7.3,2:13.99,python3,rnn.py
T60.3C,22110,pk,20,0,2557356,588500,201192,R,100.0,7.4,2:15.19,python3,rnn.py
T59.9C,22110,pk,20,0,2584056,590608,201192,S,100.0,7.4,2:16.40,python3,rnn.py
T59.4C,22110,pk,20,0,2561572,592564,201192,R,100.0,7.4,2:17.60,python3,rnn.py
T59.9C,22110,pk,20,0,2563816,594684,201192,R,106.2,7.4,2:18.81,python3,rnn.py
T59.4C,22110,pk,20,0,2565268,596396,201192,R,100.0,7.5,2:20.02,python3,rnn.py
T59.4C,22110,pk,20,0,2566844,597852,201192,R,100.0,7.5,2:21.23,python3,rnn.py
T60.3C,22110,pk,20,0,2593544,600024,201192,S,106.2,7.5,2:22.44,python3,rnn.py
T59.4C,22110,pk,20,0,2571332,602400,201192,R,100.0,7.5,2:23.64,python3,rnn.py
T59.4C,22110,pk,20,0,2572784,604136,201192,R,100.0,7.6,2:24.85,python3,rnn.py
T59.4C,22110,pk,20,0,2574760,605712,201192,R,94.1,7.6,2:26.06,python3,rnn.py
T59.9C,22110,pk,20,0,2576084,607220,201192,R,100.0,7.6,2:27.27,python3,rnn.py
T59.9C,22110,pk,20,0,2578320,609228,201192,R,93.8,7.6,2:28.47,python3,rnn.py
T60.3C,22110,pk,20,0,2580828,611820,201192,R,94.1,7.6,2:29.68,python3,rnn.py
T59.9C,22110,pk,20,0,2582412,613660,201192,R,106.2,7.7,2:30.89,python3,rnn.py
T59.4C,22110,pk,20,0,2584252,615048,201192,R,100.0,7.7,2:32.10,python3,rnn.py
T59.4C,22110,pk,20,0,2585572,616524,201192,R,100.0,7.7,2:33.31,python3,rnn.py
T60.3C,22110,pk,20,0,2588204,619076,201192,R,100.0,7.7,2:34.52,python3,rnn.py
T59.9C,22110,pk,20,0,2590184,621228,201192,R,100.0,7.8,2:35.71,python3,rnn.py
T60.3C,22110,pk,20,0,2591900,622972,201192,R,100.0,7.8,2:36.92,python3,rnn.py
T59.9C,22110,pk,20,0,2593484,624460,201192,R,94.1,7.8,2:38.13,python3,rnn.py
T59.4C,22110,pk,20,0,2595324,626276,201192,R,106.2,7.8,2:39.34,python3,rnn.py
T59.9C,22110,pk,20,0,2597308,628472,201192,R,100.0,7.9,2:40.53,python3,rnn.py
T59.9C,22110,pk,20,0,2600072,630852,201192,R,94.1,7.9,2:41.74,python3,rnn.py
T59.9C,22110,pk,20,0,2601260,632196,201192,R,100.0,7.9,2:42.95,python3,rnn.py
T59.4C,22110,pk,20,0,2602976,633760,201192,R,100.0,7.9,2:44.15,python3,rnn.py
T59.4C,22110,pk,20,0,2604816,635692,201192,R,100.0,7.9,2:45.36,python3,rnn.py
T59.4C,22110,pk,20,0,2631780,638320,201192,S,100.0,8.0,2:46.57,python3,rnn.py
T58.9C,22110,pk,20,0,2608912,639780,201192,R,106.2,8.0,2:47.77,python3,rnn.py
T59.9C,22110,pk,20,0,2610496,641548,201192,R,106.2,8.0,2:48.97,python3,rnn.py
T60.3C,22110,pk,20,0,2612204,642872,201192,R,94.1,8.0,2:50.18,python3,rnn.py
T59.4C,22110,pk,20,0,2613920,645100,201192,R,100.0,8.1,2:51.38,python3,rnn.py
T59.9C,22110,pk,20,0,2616684,647712,201192,R,106.2,8.1,2:52.60,python3,rnn.py
T59.9C,22110,pk,20,0,2618268,649236,201192,R,100.0,8.1,2:53.81,python3,rnn.py
T59.9C,22110,pk,20,0,2619852,650784,201192,R,100.0,8.1,2:55.01,python3,rnn.py
T59.4C,22110,pk,20,0,2621436,652376,201192,R,106.2,8.2,2:56.23,python3,rnn.py
T59.9C,22110,pk,20,0,2623984,655008,201192,R,106.2,8.2,2:57.43,python3,rnn.py
T59.4C,22110,pk,20,0,2650420,656880,201192,S,94.1,8.2,2:58.64,python3,rnn.py
T59.4C,22110,pk,20,0,2627680,658612,201192,R,100.0,8.2,2:59.84,python3,rnn.py
T58.4C,22110,pk,20,0,2628728,659564,201192,R,93.8,8.2,3:01.04,python3,rnn.py
T60.3C,22110,pk,20,0,2628728,659780,201192,R,94.1,8.2,3:02.25,python3,rnn.py
T59.9C,22110,pk,20,0,2628728,659724,201192,R,100.0,8.2,3:03.46,python3,rnn.py
T58.9C,22110,pk,20,0,2628728,659668,201192,R,106.2,8.2,3:04.67,python3,rnn.py
T59.9C,22110,pk,20,0,2628728,659620,201192,R,106.2,8.2,3:05.88,python3,rnn.py
T59.4C,22110,pk,20,0,2628728,659564,201192,R,94.1,8.2,3:07.08,python3,rnn.py
T58.9C,22110,pk,20,0,2628728,659772,201192,R,100.0,8.2,3:08.29,python3,rnn.py
T59.4C,22110,pk,20,0,2628728,659716,201192,R,100.0,8.2,3:09.50,python3,rnn.py
T59.9C,22110,pk,20,0,2628728,659660,201192,R,94.1,8.2,3:10.71,python3,rnn.py
T59.4C,22110,pk,20,0,2628728,659596,201192,R,100.0,8.2,3:11.92,python3,rnn.py
T60.3C,22110,pk,20,0,2628728,659532,201192,R,100.0,8.2,3:13.14,python3,rnn.py
T59.4C,22110,pk,20,0,2628728,659740,201192,R,100.0,8.2,3:14.34,python3,rnn.py
T58.9C,22110,pk,20,0,2628728,659676,201192,R,100.0,8.2,3:15.55,python3,rnn.py
T59.9C,22110,pk,20,0,2628728,659620,201192,R,100.0,8.2,3:16.76,python3,rnn.py
T59.9C,22110,pk,20,0,2628728,659552,201192,R,100.0,8.2,3:17.97,python3,rnn.py
T59.9C,22110,pk,20,0,2628728,659756,201192,R,100.0,8.2,3:19.18,python3,rnn.py
T60.3C,22110,pk,20,0,2630048,660976,201192,R,106.2,8.3,3:20.39,python3,rnn.py
T60.3C,22110,pk,20,0,2631764,662728,201192,R,94.1,8.3,3:21.59,python3,rnn.py
T60.3C,22110,pk,20,0,2658332,664608,201192,S,106.2,8.3,3:22.81,python3,rnn.py
T59.4C,22110,pk,20,0,2635988,666948,201192,R,100.0,8.3,3:24.01,python3,rnn.py
T59.9C,22110,pk,20,0,2637308,668420,201192,R,100.0,8.4,3:25.22,python3,rnn.py
T60.3C,22110,pk,20,0,2638896,669852,201192,R,100.0,8.4,3:26.44,python3,rnn.py
T59.4C,22110,pk,20,0,2640480,671448,201192,R,106.2,8.4,3:27.64,python3,rnn.py
T60.3C,22110,pk,20,0,2643120,673952,201192,R,100.0,8.4,3:28.85,python3,rnn.py
T59.4C,22110,pk,20,0,2645100,675960,201192,R,100.0,8.4,3:30.05,python3,rnn.py
T60.3C,22110,pk,20,0,2646288,677364,201192,R,106.2,8.5,3:31.27,python3,rnn.py
T58.9C,22110,pk,20,0,2647872,678820,201192,S,106.2,8.5,3:32.48,python3,rnn.py
T60.8C,22110,pk,20,0,2649984,680864,201192,R,100.0,8.5,3:33.68,python3,rnn.py
