Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
0.00,0.012,0,0,360.78,1754.1123,4.862
200.00,-0.008,0,0,365.803,1778.5342,4.862
400.00,0.012,0,0,362.28,1761.4054,4.862
600.00,0.005,0,0,362.65,1763.2042,4.862
800.00,0.005,0,0,360.879,1754.5936,4.862
1000.00,-0.012,0,0,364.563,1772.5052,4.862
1200.00,0.008,0,0,403.337,1948.9243,4.832
1400.00,-0.005,0,0,405.065,1957.274,4.832
1600.00,-0.004,0,0,403.436,1950.2097,4.834
1800.00,-0.022,0,0,404.563,1955.6575,4.834
2000.00,-0.002,0,0,456.837,2191.9038,4.798
2200.00,0.022,0,0,404.255,1953.3601,4.832
2400.00,-0.003,0,0,404.502,1955.3628,4.834
2600.00,0.011,0,0,563.702,2661.801,4.722
2800.00,0.006,0,0,403.875,1952.3318,4.834
3000.00,0.009,0,0,403.9,1951.6447,4.832
3200.00,0.013,0,0,403.974,1952.8103,4.834
3400.00,0,0,0,406.978,1966.5176,4.832
3600.00,0,0,0,404.263,1955.8243,4.838
3800.00,0.001,0,0,404.468,1954.3893,4.832
4000.00,0,0,0,403.641,1949.5859,4.83
4200.00,0.004,0,0,404.406,1954.0897,4.832
4400.00,-0.003,0,0,403.74,1950.8716,4.832
4600.00,0.001,0,0,611.274,2868.0974,4.692
4800.00,-0.014,0,0,592.825,2786.2773,4.7
5000.00,0.009,0,0,447.13,2147.1184,4.802
5200.00,0.005,0,0,446.723,2145.1638,4.802
5400.00,0.008,0,0,446.611,2144.626,4.802
5600.00,-0.005,0,0,447.537,2149.0728,4.802
5800.00,0.009,0,0,446.714,2146.0139,4.804
6000.00,0.016,0,0,446.825,2145.6538,4.802
6200.00,0.002,0,0,400.178,1935.2609,4.836
6400.00,-0.019,0,0,473.141,2265.3992,4.788
6600.00,0,0,0,362.38,1761.8916,4.862
6800.00,0.002,0,0,362.028,1760.1802,4.862
7000.00,0,0,0,367.112,1783.4301,4.858
7200.00,0.009,0,0,370.076,1797.089,4.856
7400.00,0.003,0,0,410.321,1982.671,4.832
7600.00,0.016,0,0,357.414,1739.1766,4.866
7800.00,0.012,0,0,362.745,1764.3916,4.864
8000.00,0.019,0,0,351.132,1710.0127,4.87
8200.00,-0.009,0,0,362.659,1762.5228,4.86
8400.00,0.015,0,0,430.906,2075.2434,4.816
8600.00,0.012,0,0,362.276,1762.1104,4.864
8800.00,0.01,0,0,360.129,1750.9471,4.862
9000.00,0.007,0,0,367.669,1786.8715,4.86
9200.00,0,0,0,311.578,1526.109,4.898
9400.00,-0.004,0,0,427.882,2060.6797,4.816
9600.00,0.012,0,0,402.323,1944.8295,4.834
9800.00,0.008,0,0,361.894,1760.2524,4.864
10000.00,0.009,0,0,364.991,1773.8563,4.86
10200.00,-0.001,0,0,313.849,1537.2323,4.898
10400.00,0.007,0,0,425.439,2049.7649,4.818
10600.00,0.002,0,0,362.079,1761.1522,4.864
10800.00,-0.013,0,0,362.364,1763.2633,4.866
11000.00,0.024,0,0,366.832,1782.8036,4.86
11200.00,0.002,0,0,366.973,1782.7548,4.858
11400.00,-0.009,0,0,418.523,2018.955,4.824
11600.00,0.012,0,0,359.037,1746.3558,4.864
11800.00,-0.009,0,0,359.519,1749.4196,4.866
12000.00,-0.013,0,0,360.321,1752.6013,4.864
12200.00,0,0,0,360.153,1751.064,4.862
12400.00,0.011,0,0,418.947,2022.6761,4.828
12600.00,0,0,0,359.647,1750.0424,4.866
12800.00,0.017,0,0,359.944,1750.7676,4.864
13000.00,-0.003,0,0,362.326,1763.0784,4.866
13200.00,0.013,0,0,374.402,1818.0962,4.856
13400.00,0.009,0,0,367.244,1784.0712,4.858
13600.00,0.001,0,0,361.654,1759.085,4.864
13800.00,0.003,0,0,404.059,1954.0293,4.836
14000.00,0,0,0,403.454,1949.4897,4.832
14200.00,0,0,0,403.953,1951.9009,4.832
14400.00,-0.016,0,0,404.138,1952.7947,4.832
14600.00,0.013,0,0,403.2,1949.8752,4.836
14800.00,0.008,0,0,404.836,1956.9773,4.834
15000.00,-0.006,0,0,404.059,1954.0293,4.836
15200.00,0.019,0,0,404.454,1954.3217,4.832
15400.00,0.012,0,0,564.535,2664.605,4.72
15600.00,0.017,0,0,404.059,1951.6049,4.83
15800.00,-0.012,0,0,405.685,1959.4585,4.83
16000.00,0.012,0,0,403.974,1952.8103,4.834
16200.00,0.001,0,0,444.871,2138.05,4.806
16400.00,0.02,0,0,403.641,1952.0078,4.836
16600.00,0.008,0,0,404.048,1951.5519,4.83
16800.00,-0.008,0,0,403.937,1951.8236,4.832
17000.00,0.01,0,0,404.011,1952.181,4.832
17200.00,0,0,0,404.135,1953.5886,4.834
17400.00,0.018,0,0,563.318,2661.1143,4.724
17600.00,0.002,0,0,402.987,1947.233,4.832
17800.00,0.038,0,0,403.826,1951.2871,4.832
18000.00,0.003,0,0,403.229,1949.2091,4.834
18200.00,0,0,0,404.327,1955.3253,4.836
18400.00,-0.01,0,0,404.105,1953.4437,4.834
18600.00,0.02,0,0,404.352,1955.4462,4.836
18800.00,0.013,0,0,357.739,1741.4735,4.868
19000.00,0,0,0,405.892,1960.4584,4.83
19200.00,0,0,0,366.73,1781.5743,4.858
19400.00,0.012,0,0,312.282,1528.9327,4.896
19600.00,0.002,0,0,363.028,1765.0422,4.862
19800.00,-0.012,0,0,362.299,1761.4978,4.862
20000.00,0.005,0,0,417.746,2013.5358,4.82
20200.00,0.002,0,0,364.373,1771.5814,4.862
20400.00,0.004,0,0,357.369,1738.2427,4.864
20600.00,0.002,0,0,357.4,1739.8232,4.868
20800.00,-0.006,0,0,362.398,1761.9791,4.862
21000.00,-0.002,0,0,360.566,1754.5143,4.866
21200.00,-0.008,0,0,367.244,1784.8058,4.86
21400.00,0.012,0,0,311.609,1526.8842,4.9
21600.00,0.006,0,0,362.14,1762.1733,4.866
21800.00,0.004,0,0,417.651,2014.7484,4.824
22000.00,0,0,0,362.893,1764.3857,4.862
22200.00,0.018,0,0,357.729,1741.4248,4.868
22400.00,0.005,0,0,359.395,1748.0972,4.864
22600.00,0.013,0,0,359.198,1747.139,4.864
22800.00,0.01,0,0,422.151,2039.8335,4.832
23000.00,0.007,0,0,432.876,2082.1335,4.81
23200.00,0.009,0,0,314.411,1538.7275,4.894
23400.00,0.018,0,0,364.307,1770.5321,4.86
23600.00,0,0,0,365.314,1775.426,4.86
23800.00,0.002,0,0,360.932,1755.5732,4.864
24000.00,-0.007,0,0,363.648,1768.7838,4.864
24200.00,0.011,0,0,407.576,1969.4071,4.832
24400.00,-0.007,0,0,402.603,1946.183,4.834
24600.00,0.01,0,0,311.165,1524.0862,4.898
24800.00,-0.025,0,0,404.713,1954.7638,4.83
25000.00,0.006,0,0,561.425,2651.0488,4.722
25200.00,0.007,0,0,554.258,2618.3147,4.724
25400.00,0.002,0,0,403.352,1948.9967,4.832
25600.00,-0.023,0,0,403.464,1949.538,4.832
25800.00,0.008,0,0,407.228,1969.3546,4.836
26000.00,-0.019,0,0,403.488,1951.2679,4.836
26200.00,0.005,0,0,403.801,1951.974,4.834
26400.00,-0.027,0,0,403.678,1951.3795,4.834
26600.00,-0.004,0,0,403.567,1950.0356,4.832
26800.00,-0.01,0,0,404.468,1956.0072,4.836
27000.00,0.012,0,0,404.024,1953.86,4.836
27200.00,0,0,0,606.647,2846.3875,4.692
27400.00,0,0,0,404.127,1953.55,4.834
27600.00,-0.017,0,0,404.295,1955.1707,4.836
27800.00,0.008,0,0,405.875,1960.3762,4.83
28000.00,0.014,0,0,403.9,1953.2604,4.836
28200.00,0.011,0,0,403.638,1950.3788,4.832
28400.00,0.001,0,0,403.724,1950.7943,4.832
28600.00,0.006,0,0,403.828,1952.1046,4.834
28800.00,-0.011,0,0,406.703,1965.1888,4.832
29000.00,-0.005,0,0,404.075,1953.2987,4.834
29200.00,0.006,0,0,563.963,2665.2891,4.726
29400.00,0.018,0,0,404.082,1954.1405,4.836
29600.00,-0.012,0,0,403.852,1951.4127,4.832
29800.00,0.003,0,0,359.305,1747.6594,4.864
30000.00,0.005,0,0,360.132,1752.4023,4.866
30200.00,0,0,0,361.774,1758.2217,4.86
30400.00,0.005,0,0,364.995,1776.0657,4.866
30600.00,-0.003,0,0,311.591,1525.5496,4.896
30800.00,-0.01,0,0,364.274,1770.3716,4.86
31000.00,0,0,0,311.517,1525.8102,4.898
31200.00,0.031,0,0,405.233,1958.8964,4.834
31400.00,0.007,0,0,564.651,2668.5405,4.726
31600.00,0,0,0,404.661,1955.3219,4.832
31800.00,0.009,0,0,403.427,1949.3591,4.832
32000.00,0,0,0,403.858,1953.0573,4.836
32200.00,0.006,0,0,404.887,1958.0334,4.836
32400.00,0.003,0,0,403.184,1948.1849,4.832
32600.00,-0.002,0,0,403.74,1951.6792,4.834
32800.00,0,0,0,403.925,1951.7655,4.832
33000.00,0.007,0,0,404.722,1956.4261,4.834
33200.00,0.018,0,0,403.649,1950.4318,4.832
33400.00,0.014,0,0,564.612,2666.0979,4.722
33600.00,0.01,0,0,404.244,1954.924,4.836
33800.00,-0.005,0,0,404.417,1954.1428,4.832
34000.00,-0.011,0,0,404.409,1954.1041,4.832
34200.00,0.002,0,0,403.78,1952.6801,4.836
34400.00,-0.003,0,0,403.595,1950.1709,4.832
34600.00,0.026,0,0,403.94,1951.0302,4.83
34800.00,0.003,0,0,403.459,1950.3209,4.834
35000.00,-0.009,0,0,404.187,1953.0315,4.832
35200.00,0.02,0,0,404.508,1955.3917,4.834
35400.00,-0.014,0,0,444.958,2137.5781,4.804
35600.00,-0.009,0,0,564.018,2661.0369,4.718
