Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
0.00,-0.013,0,0,405.745,1959.7483,4.83
200.00,-0.028,0,0,405.264,1959.0463,4.834
400.00,0.018,0,0,405.582,1958.9611,4.83
600.00,-0.012,0,0,405.434,1959.057,4.832
800.00,0.016,0,0,405.585,1960.5979,4.834
1000.00,-0.01,0,0,405.72,1960.439,4.832
1200.00,-0.009,0,0,565.743,2666.9126,4.714
1400.00,-0.024,0,0,521.924,2474.9636,4.742
1600.00,0.004,0,0,404.931,1956.6265,4.832
1800.00,0.001,0,0,358.769,1746.4875,4.868
2000.00,0.008,0,0,370.986,1801.5079,4.856
2200.00,0.024,0,0,313.011,1533.1277,4.898
2400.00,0,0,0,409.183,1975.5356,4.828
2600.00,0.018,0,0,565.692,2667.8037,4.716
2800.00,0,0,0,405.407,1958.1158,4.83
3000.00,-0.017,0,0,405.518,1958.652,4.83
3200.00,-0.012,0,0,405.518,1959.4629,4.832
3400.00,-0.013,0,0,404.914,1956.5443,4.832
3600.00,-0.007,0,0,405.383,1959.6215,4.834
3800.00,-0.006,0,0,439.092,2111.1545,4.808
4000.00,0,0,0,410.853,1984.4199,4.83
4200.00,0.007,0,0,405.521,1958.6664,4.83
4400.00,-0.015,0,0,446.912,2145.1777,4.8
4600.00,0.007,0,0,561.271,2648.0764,4.718
4800.00,0.007,0,0,405.221,1958.0278,4.832
5000.00,-0.001,0,0,407.43,1969.5166,4.834
5200.00,0.005,0,0,405.862,1960.3135,4.83
5400.00,-0.007,0,0,405.549,1957.9906,4.828
5600.00,-0.005,0,0,404.735,1954.87,4.83
5800.00,-0.009,0,0,405.48,1959.2793,4.832
6000.00,0.003,0,0,405.838,1961.821,4.834
6200.00,0.001,0,0,405.961,1961.6035,4.832
6400.00,0.027,0,0,405.932,1960.6516,4.83
6600.00,-0.016,0,0,564.773,2666.8582,4.722
6800.00,0,0,0,406.047,1962.8312,4.834
7000.00,0,0,0,405.43,1958.2268,4.83
7200.00,-0.024,0,0,446.2,2144.4373,4.806
7400.00,-0.009,0,0,359.863,1749.6539,4.862
7600.00,0.012,0,0,312.745,1531.1995,4.896
7800.00,0.001,0,0,429.898,2071.2485,4.818
8000.00,0.013,0,0,365.466,1776.1648,4.86
8200.00,0.003,0,0,405.282,1957.5121,4.83
8400.00,-0.01,0,0,408.54,1973.2482,4.83
8600.00,0.002,0,0,405.83,1960.9705,4.832
8800.00,-0.004,0,0,405.781,1960.7338,4.832
9000.00,-0.019,0,0,405.595,1960.6462,4.834
9200.00,-0.021,0,0,408.644,1973.7505,4.83
9400.00,0.01,0,0,564.344,2663.7036,4.72
9600.00,-0.003,0,0,405.386,1958.0143,4.83
9800.00,-0.006,0,0,405.444,1955.8618,4.824
10000.00,0.016,0,0,405.642,1959.2509,4.83
10200.00,0.005,0,0,407.456,1968.0125,4.83
10400.00,-0.014,0,0,405.543,1959.5837,4.832
10600.00,0.007,0,0,405.284,1957.5217,4.83
10800.00,-0.003,0,0,405.761,1960.637,4.832
11000.00,0,0,0,405.102,1956.6426,4.83
11200.00,0.005,0,0,405.649,1958.4734,4.828
11400.00,0.004,0,0,566.123,2672.1003,4.72
11600.00,-0.002,0,0,404.884,1956.3994,4.832
11800.00,0.03,0,0,405.42,1957.3678,4.828
12000.00,0.006,0,0,406.283,1963.972,4.834
12200.00,0,0,0,405.642,1960.8734,4.834
12400.00,-0.013,0,0,406.111,1962.3282,4.832
12600.00,-0.017,0,0,448.931,2155.7666,4.802
12800.00,0.016,0,0,406.032,1961.9467,4.832
13000.00,0.021,0,0,405.353,1958.6656,4.832
13200.00,0.028,0,0,411.075,1983.8481,4.826
13400.00,-0.007,0,0,358.677,1743.8876,4.862
13600.00,0.024,0,0,405.657,1959.3234,4.83
13800.00,-0.002,0,0,405.196,1958.7175,4.834
14000.00,0.023,0,0,405.912,1961.3666,4.832
14200.00,0.01,0,0,405.307,1958.4434,4.832
14400.00,0.009,0,0,405.147,1958.4807,4.834
14600.00,0,0,0,405.628,1959.1831,4.83
14800.00,0.017,0,0,564.279,2663.3967,4.72
15000.00,0,0,0,405.821,1961.7388,4.834
15200.00,0.02,0,0,405.376,1959.5876,4.834
15400.00,0,0,0,446.443,2143.8193,4.802
15600.00,0.019,0,0,406.396,1962.8926,4.83
15800.00,0,0,0,405.416,1958.97,4.832
16000.00,-0.008,0,0,405.409,1958.9362,4.832
16200.00,-0.004,0,0,405.631,1959.1978,4.83
16400.00,0.023,0,0,405.421,1958.1833,4.83
16600.00,0.001,0,0,405.779,1960.724,4.832
16800.00,-0.017,0,0,565.399,2668.6831,4.72
17000.00,-0.004,0,0,405.305,1958.4336,4.832
17200.00,0.006,0,0,405.609,1959.0914,4.83
17400.00,0.001,0,0,405.844,1960.2264,4.83
17600.00,-0.023,0,0,405.202,1958.7465,4.834
17800.00,-0.002,0,0,405.236,1958.1002,4.832
18000.00,-0.008,0,0,407.268,1968.7336,4.834
18200.00,0.032,0,0,426.829,2060.7305,4.828
18400.00,0.012,0,0,405.429,1958.2219,4.83
18600.00,0,0,0,411.97,1990.6389,4.832
18800.00,0.001,0,0,368.114,1789.0342,4.86
19000.00,0,0,0,368.279,1788.3628,4.856
19200.00,0,0,0,313.146,1535.0416,4.902
19400.00,0.004,0,0,365.004,1774.6494,4.862
19600.00,-0.032,0,0,365.633,1777.7076,4.862
19800.00,0.017,0,0,363.375,1766.0026,4.86
20000.00,-0.011,0,0,405.322,1958.5157,4.832
20200.00,0.007,0,0,448.529,2154.7332,4.804
20400.00,0.006,0,0,405.552,1960.4385,4.834
20600.00,-0.008,0,0,405.389,1958.0289,4.83
20800.00,-0.006,0,0,566.118,2670.9446,4.718
21000.00,-0.006,0,0,526.701,2498.6694,4.744
21200.00,0,0,0,405.685,1960.2698,4.832
21400.00,0.007,0,0,405.603,1960.6849,4.834
21600.00,-0.006,0,0,405.554,1958.8257,4.83
21800.00,-0.005,0,0,405.418,1958.9797,4.832
22000.00,-0.012,0,0,408.955,1976.0704,4.832
22200.00,-0.013,0,0,405.583,1959.777,4.832
22400.00,0.018,0,0,405.39,1958.0337,4.83
22600.00,0.002,0,0,405.353,1959.4764,4.834
22800.00,0.015,0,0,405.674,1961.0282,4.834
23000.00,0.006,0,0,566.209,2673.6389,4.722
23200.00,-0.001,0,0,405.284,1958.3322,4.832
23400.00,-0.001,0,0,406.16,1961.7528,4.83
23600.00,-0.008,0,0,446.73,2146.0908,4.804
23800.00,0.001,0,0,406.106,1963.1163,4.834
24000.00,-0.004,0,0,405.822,1961.7435,4.834
24200.00,0.007,0,0,405.612,1959.9171,4.832
