Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
0.00,0,0,0,408.39,1973.3405,4.832
200.00,0,0,0,357.922,1740.2168,4.862
400.00,-0.008,0,0,415.025,2003.7407,4.828
600.00,-0.002,0,0,413.211,1994.1564,4.826
800.00,0,0,0,358.096,1742.4952,4.866
1000.00,0.005,0,0,410.726,1983.8066,4.83
1200.00,0,0,0,357.997,1742.7295,4.868
1400.00,0.002,0,0,411.699,1987.6829,4.828
1600.00,-0.007,0,0,462.482,2223.6135,4.808
1800.00,0.016,0,0,358.664,1744.5416,4.864
2000.00,0.005,0,0,411.938,1988.0128,4.826
2200.00,-0.01,0,0,412.136,1988.9684,4.826
2400.00,-0.002,0,0,357.862,1742.0723,4.868
2600.00,0,0,0,413.962,1997.7808,4.826
2800.00,-0.015,0,0,358.256,1742.5571,4.864
3000.00,-0.01,0,0,407.826,1969.7994,4.83
3200.00,0.02,0,0,416.106,2008.1276,4.826
3400.00,0.001,0,0,358.423,1743.3694,4.864
3600.00,0.001,0,0,411.104,1984.8102,4.828
3800.00,0.004,0,0,406.941,1965.525,4.83
4000.00,-0.02,0,0,360.688,1755.1078,4.866
4200.00,-0.006,0,0,409.989,1979.427,4.828
4400.00,0.011,0,0,357.93,1740.9714,4.864
4600.00,-0.01,0,0,410.063,1980.6042,4.83
4800.00,0.012,0,0,407.878,1970.0507,4.83
5000.00,0.009,0,0,357.862,1741.3566,4.866
5200.00,-0.029,0,0,415.937,2007.3121,4.826
5400.00,-0.003,0,0,412,1989.96,4.83
5600.00,-0.006,0,0,357.554,1739.8578,4.866
5800.00,-0.021,0,0,411.203,1984.4658,4.826
6000.00,0.033,0,0,439.079,2109.3354,4.804
6200.00,0.001,0,0,398.835,1928.766,4.836
6400.00,-0.001,0,0,414.013,1998.0269,4.826
6600.00,0,0,0,358.163,1742.1047,4.864
6800.00,-0.024,0,0,408.883,1975.7225,4.832
7000.00,0,0,0,409.561,1978.1796,4.83
7200.00,0.001,0,0,359.294,1746.8875,4.862
7400.00,-0.002,0,0,409.421,1977.5033,4.83
7600.00,-0.007,0,0,411.284,1984.8567,4.826
7800.00,-0.009,0,0,358.116,1742.5925,4.866
8000.00,-0.001,0,0,409.515,1977.1385,4.828
8200.00,0.006,0,0,409.671,1978.7108,4.83
8400.00,0.007,0,0,357.876,1740.7089,4.864
8600.00,-0.009,0,0,411.275,1986.4581,4.83
8800.00,0.002,0,0,369.706,1798.2499,4.864
9000.00,0,0,0,413.554,1996.6387,4.828
9200.00,-0.004,0,0,411.802,1988.1801,4.828
9400.00,-0.013,0,0,449.85,2160.1797,4.802
9600.00,0.013,0,0,604.497,2837.5088,4.694
9800.00,-0.009,0,0,357.704,1739.1569,4.862
